index, frame_type, GPU Time, time.time()
601,0,14697059,1740586854.982339
602,0,14721924,1740586855.005496
603,0,14746794,1740586855.031125
604,0,14771660,1740586855.055253
605,0,14796528,1740586855.082314
606,0,14821397,1740586855.107427
607,0,14846264,1740586855.129765
608,0,14871133,1740586855.156438
609,0,14896002,1740586855.179740
610,2,-1000,1740586855.203016
611,1,14920869,1740586855.215428
611,1,-1000,1740586855.217268
612,0,14945739,1740586855.233189
613,0,14970605,1740586855.254718
614,0,14995473,1740586855.278865
615,0,15020341,1740586855.303794
616,0,15045209,1740586855.330082
617,0,15070081,1740586855.353698
618,0,15094946,1740586855.378550
619,0,15119815,1740586855.405295
620,0,15144682,1740586855.427887
621,0,15169550,1740586855.455318
622,0,15194418,1740586855.477944
623,0,15219286,1740586855.503507
624,0,15244154,1740586855.530410
625,0,15269023,1740586855.553457
626,0,15293890,1740586855.579107
627,0,15318761,1740586855.604120
628,0,15343627,1740586855.629926
629,0,15368495,1740586855.653941
630,0,15393363,1740586855.677537
631,0,15418231,1740586855.704873
632,0,15443099,1740586855.727156
633,0,15467968,1740586855.753664
634,0,15492835,1740586855.777884
635,0,15517705,1740586855.802270
636,0,15542571,1740586855.829985
637,0,15567442,1740586855.850966
638,0,15592308,1740586855.877565
639,0,15617176,1740586855.903246
640,0,15642046,1740586855.925397
641,0,15666912,1740586855.953351
642,0,15691780,1740586855.976151
643,0,15716649,1740586856.001596
644,0,15741516,1740586856.026903
645,0,15766386,1740586856.049626
646,0,15791253,1740586856.078663
647,0,15816121,1740586856.100724
648,0,15840989,1740586856.125675
649,0,15865858,1740586856.150687
650,0,15890727,1740586856.174842
651,0,15915593,1740586856.201838
652,0,15940462,1740586856.224675
653,0,15965331,1740586856.249290
654,0,15990201,1740586856.275472
655,0,16015066,1740586856.299145
656,0,16039934,1740586856.326917
657,0,16064829,1740586856.348226
658,0,16089670,1740586856.373951
659,0,16114539,1740586856.397940
660,0,16139408,1740586856.425123
661,0,16164275,1740586856.451176
662,0,16189143,1740586856.472865
663,0,16214013,1740586856.499691
664,0,16238879,1740586856.523805
665,0,16263747,1740586856.547060
666,0,16288615,1740586856.575553
667,0,16313484,1740586856.597377
668,0,16338351,1740586856.625081
669,0,16363221,1740586856.648121
670,0,16388088,1740586856.671816
671,2,-1000,1740586856.696391
672,1,16412956,1740586856.708576
672,1,-1000,1740586856.710548
673,0,16437826,1740586856.724677
674,0,16462694,1740586856.746910
675,0,16487562,1740586856.771119
676,0,16512428,1740586856.795731
677,0,16537297,1740586856.822375
678,0,16562166,1740586856.845391
679,0,16587032,1740586856.870673
680,0,16611901,1740586856.895322
681,0,16636769,1740586856.921774
682,0,16661639,1740586856.946783
683,0,16686506,1740586856.969927
684,0,16711374,1740586856.995754
685,0,16736241,1740586857.020791
686,0,16761109,1740586857.047197
687,0,16785980,1740586857.070798
688,0,16810845,1740586857.094810
689,0,16835714,1740586857.121094
690,0,16860582,1740586857.143981
691,0,16885450,1740586857.170449
692,0,16910320,1740586857.196237
693,0,16935186,1740586857.219825
694,0,16960054,1740586857.246762
695,0,16984923,1740586857.268185
696,0,17009791,1740586857.294112
697,0,17034661,1740586857.321247
698,0,17059527,1740586857.344688
699,0,17084395,1740586857.370649
700,0,17109263,1740586857.393573
701,0,17134131,1740586857.417519
702,0,17158999,1740586857.444854
703,0,17183868,1740586857.468750
704,0,17208738,1740586857.493124
705,0,17233603,1740586857.517012
706,0,17258472,1740586857.544922
707,0,17283342,1740586857.569423
708,0,17308227,1740586857.591847
709,0,17333078,1740586857.618243
710,0,17357945,1740586857.642095
711,0,17382812,1740586857.669581
712,0,17407681,1740586857.696155
713,0,17432550,1740586857.718111
714,0,17457418,1740586857.744947
715,0,17482286,1740586857.770123
716,0,17507153,1740586857.793293
717,0,17532021,1740586857.817710
718,0,17556889,1740586857.845822
719,0,17581757,1740586857.866265
